City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Albania,AL,2021-10-21 19:12:23,41.0,20.0,58.39,66,66,3.69
202,Leshukonskoye,RU,2021-10-21 19:12:23,64.8989,45.7622,29.73,97,94,3.51
203,Aykhal,RU,2021-10-21 19:12:23,66.0,111.5,17.02,91,60,6.35
204,Nhulunbuy,AU,2021-10-21 19:12:24,-12.2333,136.7667,79.41,89,94,6.91
205,Hasaki,JP,2021-10-21 19:12:24,35.7333,140.8333,54.0,69,100,14.5
206,Banda Aceh,ID,2021-10-21 19:12:24,5.5577,95.3222,79.14,80,97,2.95
207,Portland,US,2021-10-21 19:12:25,45.5234,-122.6762,69.08,58,75,1.99
208,Santa Rosalia,MX,2021-10-21 19:12:25,27.3167,-112.2833,79.75,49,0,8.7
209,Peniche,PT,2021-10-21 19:12:26,39.3558,-9.3811,64.62,78,60,20.04
210,Humberto De Campos,BR,2021-10-21 19:12:26,-2.5983,-43.4611,86.79,56,91,9.37
211,Mapiripan,CO,2021-10-21 19:12:26,2.8892,-72.1256,83.95,75,69,5.03
212,Hervey Bay,AU,2021-10-21 19:12:27,-25.2986,152.8535,75.04,76,8,9.19
213,Arraial Do Cabo,BR,2021-10-21 19:12:27,-22.9661,-42.0278,69.66,64,75,9.22
214,Nalut,LY,2021-10-21 19:12:28,30.3333,10.85,72.1,42,9,13.62
215,Tubuala,PA,2021-10-21 19:12:28,9.5167,-79.0333,87.91,73,100,5.32
216,Vysokogornyy,RU,2021-10-21 19:12:28,50.1167,139.15,22.66,96,100,2.28
217,Padang,ID,2021-10-21 19:12:29,-0.9492,100.3543,77.2,87,100,3.13
218,Grand Haven,US,2021-10-21 19:09:33,43.0631,-86.2284,57.99,82,90,1.01
219,Zarubino,RU,2021-10-21 19:12:29,42.63,131.0922,41.0,57,9,9.31
220,Norman Wells,CA,2021-10-21 19:12:30,65.282,-126.8329,34.48,76,24,5.28
221,Loandjili,CG,2021-10-21 19:12:30,-4.7561,11.8578,77.43,85,46,9.31
222,Dori,BF,2021-10-21 19:12:31,14.0354,-0.0345,95.32,26,91,4.83
223,Port Washington,US,2021-10-21 19:12:31,40.8257,-73.6982,79.0,53,40,5.99
224,Braniewo,PL,2021-10-21 19:12:31,54.3797,19.8196,51.96,73,33,26.49
225,Longyearbyen,SJ,2021-10-21 19:12:32,78.2186,15.6401,15.33,69,100,2.75
226,Itaituba,BR,2021-10-21 19:12:32,-4.2761,-55.9836,79.92,87,100,2.04
227,Axim,GH,2021-10-21 19:12:33,4.8699,-2.2405,78.66,85,100,6.64
228,Kamenka,RU,2021-10-21 19:12:33,51.3223,42.7678,53.1,63,100,18.63
229,Hopelchen,MX,2021-10-21 19:12:33,19.7667,-89.85,87.08,91,100,3.51
