City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Bilma,NE,18.6853,12.9164,87.17,12,0,6.08,clear sky
166,Labuhan,ID,-6.8844,112.2051,80.17,83,99,5.7,overcast clouds
167,Aklavik,CA,68.2191,-135.0107,27.32,92,99,4.7,overcast clouds
168,Abu Samrah,SY,35.3029,37.1841,68.94,33,10,1.95,clear sky
169,Cap Malheureux,MU,-19.9842,57.6142,72.46,69,0,1.01,clear sky
170,Puerto Penasco,MX,31.3167,-113.5333,74.91,25,0,4.0,clear sky
171,Yeppoon,AU,-23.1333,150.7333,71.38,85,7,8.46,clear sky
172,Bengkulu,ID,-3.8004,102.2655,75.88,87,100,3.06,overcast clouds
173,Yaan,NG,7.3833,8.5667,79.25,76,91,5.1,overcast clouds
174,Shenjiamen,CN,29.9576,122.298,66.56,59,33,10.54,scattered clouds
175,Meulaboh,ID,4.1363,96.1285,74.05,94,100,5.41,moderate rain
176,Dese,ET,11.1333,39.6333,52.29,56,41,0.65,scattered clouds
177,Vostok,RU,46.4856,135.8833,33.91,95,100,2.66,overcast clouds
178,Haines Junction,CA,60.7522,-137.5108,26.74,89,99,1.23,overcast clouds
179,Taoudenni,ML,22.6783,-3.9836,91.98,18,57,13.65,broken clouds
180,Tenno,JP,39.9,139.9667,60.76,62,50,18.86,scattered clouds
181,Klaksvik,FO,62.2266,-6.589,47.32,81,38,19.6,scattered clouds
182,Okato,NZ,-39.2,173.8833,57.42,99,100,7.2,overcast clouds
183,Dieppe,FR,49.75,1.1667,56.19,84,70,8.16,broken clouds
184,Padang,ID,-0.9492,100.3543,75.25,80,49,3.2,scattered clouds
185,Sola,VU,-13.8833,167.55,80.89,77,97,16.11,light rain
186,Alexandria,EG,31.2156,29.9553,74.32,68,61,14.67,broken clouds
187,San Quintin,MX,30.4833,-115.95,70.36,49,0,3.24,clear sky
188,Nemuro,JP,43.3236,145.575,54.14,83,100,12.8,overcast clouds
189,Yambio,SS,4.5721,28.3955,74.19,77,66,3.36,broken clouds
190,Alice Springs,AU,-23.7,133.8833,81.95,36,33,8.05,scattered clouds
191,Severodvinsk,RU,64.5635,39.8302,30.31,82,100,15.17,overcast clouds
192,Yellowknife,CA,62.456,-114.3525,39.42,100,90,6.91,light rain
193,Moron,AR,-34.6534,-58.6198,98.02,32,4,3.0,light rain
194,Pangnirtung,CA,66.1451,-65.7125,32.0,80,75,9.22,broken clouds
195,Salym,RU,60.0625,71.4789,19.56,95,39,3.51,scattered clouds
196,Sinnamary,GF,5.3833,-52.95,84.72,65,26,9.26,scattered clouds
197,Khandyga,RU,62.6667,135.6,29.03,98,100,5.97,light snow
198,Bambanglipuro,ID,-7.95,110.2833,76.89,87,100,5.1,heavy intensity rain
199,Mezen,RU,65.8522,44.24,24.57,93,100,9.15,overcast clouds
200,Araouane,ML,18.9048,-3.5265,93.65,14,60,4.83,broken clouds
201,Rio Gallegos,AR,-51.6226,-69.2181,58.37,48,100,22.44,overcast clouds
202,Tucuman,AR,-26.8241,-65.2226,96.8,16,39,12.66,scattered clouds
203,Kununurra,AU,-15.7667,128.7333,80.58,89,40,3.44,scattered clouds
204,Bilibino,RU,68.0546,166.4372,-22.45,99,63,3.04,broken clouds
205,Jumla,NP,29.2747,82.1838,42.6,76,12,3.4,few clouds
206,Kalispell,US,48.1958,-114.3129,48.61,56,90,5.01,overcast clouds
207,Itarema,BR,-2.9248,-39.9167,86.58,55,35,18.37,scattered clouds
208,Arua,UG,3.0201,30.9111,68.27,77,72,1.99,broken clouds
209,Namatanai,PG,-3.6667,152.4333,79.93,80,38,5.99,light rain
210,Weinsberg,DE,49.1503,9.2883,52.36,92,60,3.83,broken clouds
211,Muroran,JP,42.3172,140.9881,56.32,83,75,14.7,broken clouds
212,Martapura,ID,-3.4167,114.85,77.09,100,20,2.3,few clouds
213,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,91,100,11.5,overcast clouds
214,Banfora,BF,10.6333,-4.7667,87.71,43,84,3.02,broken clouds
215,Mackay,AU,-21.15,149.2,72.05,80,14,5.91,few clouds
216,Eresos,GR,39.1667,25.9333,58.51,67,0,16.8,clear sky
217,Constitucion,CL,-35.3333,-72.4167,63.48,64,12,10.2,few clouds
218,Promissao,BR,-21.5367,-49.8581,80.6,69,100,0.87,overcast clouds
219,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,74,20,3.0,few clouds
220,Gimli,CA,50.6336,-96.9907,45.43,88,100,16.35,overcast clouds
221,Naldurg,IN,17.8167,76.3,68.95,67,37,9.31,scattered clouds
222,Natalio,PY,-26.7167,-55.0833,92.46,23,0,2.91,clear sky
223,Yarmouth,US,41.7057,-70.2286,53.96,97,100,38.01,overcast clouds
224,Tete,MZ,-16.1564,33.5867,84.79,47,34,12.3,scattered clouds
225,Ikom,NG,5.9667,8.7063,76.55,93,96,1.88,overcast clouds
226,Ambilobe,MG,-13.2,49.05,74.64,76,78,3.04,broken clouds
227,Yumen,CN,40.2833,97.2,42.44,45,66,11.01,broken clouds
228,Okhotsk,RU,59.3833,143.3,20.41,86,94,7.36,overcast clouds
229,Cortez,US,37.3489,-108.5859,52.41,47,20,13.8,few clouds
230,Antalaha,MG,-14.9003,50.2788,71.49,89,8,4.85,clear sky
231,Mount Gambier,AU,-37.8333,140.7667,53.51,100,90,6.91,light rain
232,Kodiak,US,57.79,-152.4072,38.28,52,1,5.75,clear sky
233,Sao Borja,BR,-28.6606,-56.0044,94.95,34,0,9.22,clear sky
234,Vanimo,PG,-2.6741,141.3028,79.03,87,99,4.12,overcast clouds
235,Karratha,AU,-20.7377,116.8463,74.32,41,1,10.45,clear sky
236,Salekhard,RU,66.53,66.6019,7.7,95,54,1.61,broken clouds
237,Avera,US,33.194,-82.5271,69.31,29,70,3.09,broken clouds
238,Makakilo City,US,21.3469,-158.0858,78.62,79,75,6.91,broken clouds
239,Kangaatsiaq,GL,68.3065,-53.4641,19.62,64,100,8.19,overcast clouds
240,Pisco,PE,-13.7,-76.2167,69.85,64,0,20.71,clear sky
241,Fuyu,CN,45.1833,124.8167,39.74,63,0,3.67,clear sky
